102,AC voltage too high
103,AC voltage too low
105,AC frequency too high
106,AC frequency too low
107,No AC grid detected / Wrong AC Grid State detected
108,Islanding detected
112,Residual Current Detected
240,Arc Detected
245,Arc Fault Cicruit Interrupter (AFCI) Selftest failed
247,Arc Fault Cicruit Interrupter (AFCI) current sensor error
249,Arc Fault Cicruit Interrupter (AFCI) detected unplausibel measurement values
301,Overcurrent AC
302,Overcurrent DC
303,Channel 1 Overtemperature
304,Channel 2 Overtemperature
305,Intermediate Circuit Undervoltage
306,Power Low
307,DC Voltage Low
308,Intermediate circuit voltage too high
309,DC1 Input Overvoltage
313,DC2 Input Overvoltage
401,Power Stack Communication Error
406,Error temperature sensor on DC board
407,Error temperature sensor on AC board
408,DC detected in grid
412,DC1 Fix Voltage Out Of Range
415,Wired Shutdown Triggered
416,RECERBO - Power Stack Communication Error
417,Hardware-ID Collision
419,Unique ID-collision
421,Hardware ID-sequence error
425,Data Exchange Timeout
426,Intermediate Circuit Loading Timeout
427,Power Stack Ready Timeout
428,Possible hardware fault
431,Power Stack In Bootmode
436,Invalid Bitmap Received
437,Power Stack Event Handling Error
438,Functional incompatibility
443,DC/DC energy transfer failure
445,Invalid Parameters detected
447,Isolation Error
450,Guard Controller - Communication Error
451,Memory Check Error
452,Power Stack - Filter Communication Error
453,Guard Controller - AC voltage error
454,Guard Controller - AC Frequency Error
456,Guard Controller - Anti Islanding Selftest Error
457,Grid Relay Error
459,Guard Controller - Isolation Selftest Error
460,Power Stack / Filter Print Reference Voltage Error
461,RAM Error / Collective Fault
462,Guard Controller - DC injection into grid detected
463,AC Poles reversed
474,Residual Current Sensor defect
475,Isolation Too Low Error
476,Power Stack Supply Missing
482,Installation wizard aborted
502,Warning - Isolation Too Low
509,No Feed In For 24 Hours
515,No communication with filter
516,Power Stack EEPROM Error
517,Power Derating Due To Overtemperature
558,Incompatible Power Stack Software
560,Power Derating Due To High Grid Frequency
705,Solar Net - Node Type Conflict
721,EEPROM - Reinitialized
731,USB Flash Drive Initializing Error
732,USB Flash Drive Overcurrent
733,No USB Flash Drive Inserted
734,No Software Update Found On USB Flash Drive
735,No Supported Software Update Found On USB Flash Drive
736,USB Flash Drive Flash Drive Read/Write Error
738,Log-File Can't Be Created On The USB Flash Drive
743,Software Update Failed
745,Software Update Checksum Wrong
751,Real Time Clock - Time Lost
752,Real Time Clock - Hardware Error
757,Real Time Clock - Hardware Error
758,Real Time Clock - Emergency Mode
766,Power Limit Not Found
